iter	Passed	Remaining
702	4278	1807
703	4285	1801
704	4291	1795
705	4297	1789
706	4303	1783
707	4309	1777
708	4316	1771
709	4322	1765
710	4329	1759
711	4334	1753
712	4340	1747
713	4346	1741
714	4353	1735
715	4359	1729
716	4365	1723
717	4372	1717
718	4379	1711
719	4386	1705
720	4392	1699
721	4399	1693
722	4405	1687
723	4411	1681
724	4418	1676
725	4424	1669
726	4431	1664
727	4437	1658
728	4443	1651
729	4449	1645
730	4455	1639
731	4462	1633
732	4468	1627
733	4475	1621
734	4481	1615
735	4487	1609
736	4493	1603
737	4500	1597
738	4506	1591
739	4512	1585
740	4519	1579
741	4525	1573
742	4531	1567
743	4537	1561
744	4544	1555
745	4550	1549
746	4555	1543
747	4561	1536
748	4568	1530
749	4574	1524
750	4580	1518
751	4586	1512
752	4593	1506
753	4599	1500
754	4605	1494
755	4611	1488
756	4617	1482
757	4623	1476
758	4630	1470
759	4636	1464
760	4642	1457
761	4648	1451
762	4654	1445
763	4660	1439
764	4666	1433
765	4673	1427
766	4679	1421
767	4685	1415
768	4693	1409
769	4699	1403
770	4706	1397
771	4712	1391
772	4718	1385
773	4724	1379
774	4731	1373
775	4737	1367
776	4743	1361
777	4750	1355
778	4756	1349
779	4762	1343
780	4768	1337
781	4775	1331
782	4782	1325
783	4788	1319
784	4795	1313
785	4801	1307
786	4808	1301
787	4814	1295
788	4820	1289
789	4827	1283
790	4834	1277
791	4840	1271
792	4846	1265
793	4853	1259
794	4859	1253
795	4866	1247
796	4872	1241
797	4879	1235
798	4885	1228
799	4891	1222
800	4897	1216
801	4903	1210
802	4910	1204
803	4916	1198
804	4923	1192
805	4930	1186
806	4936	1180
807	4942	1174
808	4949	1168
809	4955	1162
810	4962	1156
811	4968	1150
812	4975	1144
813	4981	1138
814	4987	1132
815	4993	1125
816	4999	1119
817	5006	1113
818	5013	1107
819	5019	1101
820	5026	1095
821	5033	1090
822	5040	1084
823	5046	1077
824	5053	1071
825	5059	1065
826	5066	1059
827	5072	1053
828	5079	1047
829	5085	1041
830	5092	1035
831	5099	1029
832	5106	1023
833	5112	1017
834	5118	1011
835	5124	1005
836	5130	999
837	5137	993
838	5143	986
839	5150	981
840	5157	975
841	5164	969
842	5170	962
843	5177	956
844	5183	950
845	5190	944
846	5196	938
847	5204	932
848	5210	926
849	5217	920
850	5224	914
851	5230	908
852	5237	902
853	5244	896
854	5250	890
855	5258	884
856	5265	878
857	5271	872
858	5278	866
